LOCALIDAD,BARRIO,CASA DE CULTURA,MODALIDAD,DIA,HORA
SUROCCIDENTE,NUEVA COLOMBIA,I.E.D PAULINO SALGADO BATATA,Maquillaje artistico,miercoles,02:00-06:00
N.C.H.,MONTECRISTO,I.E.D INSTITUTO TECNICO NACIONAL DE COMERCIO (INSTENALCO),BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
N.C.H.,MONTECRISTO,I.E.D INSTITUTO TECNICO NACIONAL DE COMERCIO (INSTENALCO),BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ELKIN PATARROYO,PINTURA,domingo,08:00-12:00
N.C.H.,MODELO,CARCEL MODELO DE BARRANQUILLA,PINTURA,miercoles,02:00-06:00
SUROCCIDENTE,LA MANGA,BIBLIOTECA POPULAR LA MANGA,Maquillaje artistico,miercoles,02:00-06:00
METROPOLITANA,VILLA  SAN PEDRO 2,I.E.D COSTA CARIBE,PINTURA,sabado,08:00-12:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,INICIACION MUSICAL,jueves,02:00-06:00
METROPOLITANA,LAS AMERICAS,I.E.D DESPERTAR DEL SUR,DANZA FOLCLORICA,sabado,08:00-12:00
N.C.H.,VILLANUEVA,I.E.D VILLANUEVA,RECICLAJE Y MANUALIDADES,sabado,08:00-12:00
N.C.H.,CHIQUINQUIRA,I.E.D JOSE EUSEBIO CARO,PERCUSION,sabado,02:00-06:00
RIOMAR,LA PLAYA,FUNALSU LA PLAYA N. 1,DANZA MODERNA,viernes,08:00-12:00
RIOMAR,LAS FLORES,I.E.D LAS FLORES,LITERATURA,viernes,08:00-12:00
SUROCCIDENTE,LA PRADERA,I.E.D BETZABE ESPINOSA,RECICLAJE Y MANUALIDADES,sabado,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CCEBM 187,SEMILLAS Y FRUTOS,sabado,02:00-06:00
SUROCCIDENTE,SAN FELIPE,I.E.D HILDA MUÑOZ,DIBUJO,sabado,02:00-06:00
METROPOLITANA,LA VICTORIA,HOGAR INFANTIL LA VICTORIA,GUITARRA,martes,02:00-06:00
SUROCCIDENTE,LA PAZ,BIBLIOTECA LA PAZ,DIBUJO,viernes,02:00-06:00
SUROCCIDENTE,LA PAZ,CASA LUDICA LA PAZ,DIBUJO,viernes,02:00-06:00
N.C.H.,EL ROSARIO,FUNDAVE,DANZA MODERNA,jueves,02:00-06:00
SUROCCIDENTE,CARLOS MEISEL,I.E.D CARLOS MEISEL,PERCUSION,viernes,02:00-06:00
RIOMAR,JUAN MINA,I.E.D JUAN MINA,MADERA,sabado,08:00-12:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,CONFECCION ARTESANAL,sabado,08:00-12:00
N.C.H.,MONTECRISTO,I.E.D INSTITUTO TECNICO NACIONAL DE COMERCIO (INSTENALCO),INICIACION MUSICAL,sabado,02:00-06:00
SUROCCIDENTE,LA PAZ,CASA LUDICA LA PAZ,DANZA MODERNA,martes,02:00-06:00
SUROCCIDENTE,SOURDIS,I.E.D EVARISTO SOURDIS,CONFECCION ARTESANAL,sabado,08:00-12:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,GUITARRA,miercoles,02:00-06:00
RIOMAR,PARAISO,I.E.D EL PARAISO,GUITARRA,sabado,08:00-12:00
SUROCCIDENTE,LA ESMERALDA,CDI LA ESMERALDA,LITERATURA,viernes,08:00-12:00
SURORIENTE,CAMPITO,I.E.D EL CAMPITO,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,LIPAYA,I.E.D JOSE MARIA VELAZ,PINTURA,jueves,02:00-06:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,DANZA FOLCLORICA,sabado,08:00-12:00
METROPOLITANA,VILLA  SAN PEDRO 2,I.E.D COSTA CARIBE,PERCUSION,sabado,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D INSTECO (INSTITUTO TECNICO DEL COMERCIO),PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D SALVADOR ENTREGAS,MADERA,miercoles,08:00-12:00
SUROCCIDENTE,LA MANGA,I.E.D DENIS HERRERA DE VILLA,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,LAS MALVINAS,I.E.D CULTURAL LAS MALVINAS,PERCUSION,jueves,08:00-12:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ZAPATA OLIVELLA,ENSAMBLES,domingo,08:00-12:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
SUROCCIDENTE,EL CARMEN,I.E.D SOFIA CAMARGO DE LLERAS,Maquillaje artistico,sabado,08:00-12:00
SUROCCIDENTE,CARLOS MEISEL,HOGAR INFANTIL CARLOS MEISEL (FE Y ALEGRIA),MADERA,jueves,08:00-12:00
METROPOLITANA,LAS AMERICAS,I.E.D GOLDA MEIR,GUITARRA,jueves,02:00-06:00
N.C.H.,BOSTON,HOGAR SANTA ELENA,PINTURA,viernes,08:00-12:00
SUROCCIDENTE,LOS ANDES,I.E.D INOCENCIO CHINCA INEDICH,PERCUSION,sabado,08:00-12:00
METROPOLITANA,7 DE ABRIL,COLEGIO MAYOR DE BARRANQUILLA Y DEL CARIBE,CIRCO,sabado,02:00-06:00
SURORIENTE,SAN ROQUE,CDI SAN ROQUE,LITERATURA,lunes,08:00-12:00
SURORIENTE,CAMPITO,I.E.D EL CAMPITO,TEJIDO,sabado,02:00-06:00
N.C.H.,CHIQUINQUIRA,I.E.D JOSE EUSEBIO CARO,BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
METROPOLITANA,LAS GRANJAS,I.E.D LAS GRANJAS,TEATRO,jueves,02:00-06:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,LITERATURA,miercoles,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CIUDADELA  20 DE JULIO,PINTURA,sabado,08:00-12:00
METROPOLITANA,CARRIZAL,AEIOTU EN CASA,LITERATURA,jueves,08:00-12:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 2,PERCUSION,jueves,02:00-06:00
METROPOLITANA,LAS AMERICAS,I.E.D DESPERTAR DEL SUR,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
SUROCCIDENTE,LIPAYA,HOGAR INFANTIL LIPAYA (FE Y ALEGRIA),CONFECCION ARTESANAL,viernes,08:00-12:00
N.C.H.,BOSTON,I.E.D CODEBA,BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
SURORIENTE,BELLARENA,I.E.D OCTAVIO PAZ,DIBUJO,sabado,02:00-06:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,Maquillaje artistico,sabado,08:00-12:00
N.C.H.,MODELO,CARCEL MODELO DE BARRANQUILLA,RECICLAJE Y MANUALIDADES,miercoles,02:00-06:00
N.C.H.,CHIQUINQUIRA,I.E.D JOSE EUSEBIO CARO,TEATRO,sabado,02:00-06:00
RIOMAR,VILLAS DE SAN PABLO,I.E.D VILLAS DE SAN PABLO,MADERA,viernes,02:00-06:00
N.C.H.,EL ROSARIO,FUNDAVE,BISUTERÍA Y ACCESORIOS,miercoles,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D JOSE CONSUEGRA HIGGINS,GUITARRA,sabado,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D INMACULADA CONCEPCION,DANZA MODERNA,sabado,02:00-06:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,ENSAMBLES,sabado,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D JOSE CONSUEGRA HIGGINS,DANZA FOLCLORICA,sabado,08:00-12:00
SURORIENTE,BOYACA,I.E.D SAN GABRIEL,PERCUSION,jueves,02:00-06:00
RIOMAR,VILLAS DE SAN PABLO,I.E.D VILLAS DE SAN PABLO,MADERA,jueves,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ELKIN PATARROYO,PERCUSION,domingo,08:00-12:00
METROPOLITANA,SAN LUIS,I.E.D SAN LUIS BACHILLERATO,MADERA,sabado,08:00-12:00
METROPOLITANA,7 DE ABRIL,FUNDACION INFANCIA FELIZ,CONFECCION ARTESANAL,viernes,02:00-06:00
SURORIENTE,SAN JOSE,I.E.D SAN JOSE,PERCUSION,viernes,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D INMACULADA CONCEPCION,LITERATURA,sabado,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ZAPATA OLIVELLA,MADERA,domingo,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D SALVADOR ENTREGAS,PERCUSION,viernes,02:00-06:00
SURORIENTE,SOLEDAD,EL OASIS,DIBUJO,martes,02:00-06:00
SUROCCIDENTE,SAN JOSE,I.E.D GABRIEL GARCIA MARQUEZ,TEATRO,sabado,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D JAVIER SANCHEZ,TEATRO,jueves,02:00-06:00
SURORIENTE,BELLARENA,I.E.D OCTAVIO PAZ,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,CARIBE VERDE,CASA HOGAR VICTOR TAMAYO,DIBUJO,martes,02:00-06:00
RIOMAR,JUAN MINA,I.E.D JUAN MINA,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,VILLA SAN PEDRO,I.E.D ALBERTO ASSA (BACHILLERATO),INICIACION MUSICAL,miercoles,08:00-12:00
SURORIENTE,CENTRO,"FUNDACION PARA LA INVESTIGACION Y EL DESARROLLO DE LA EDUCACION ESPECIAL ""FIDES""",BISUTERÍA Y ACCESORIOS,jueves,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D SANTO DOMINGO DE GUZMAN,CONFECCION ARTESANAL,sabado,08:00-12:00
SURORIENTE,LOS TRUPILLOS,I.E.D LAS NIEVES (PRIMARIA),DANZA FOLCLORICA,domingo,08:00-12:00
SURORIENTE,SAN JOSE,I.E.D SAN JOSE,Maquillaje artistico,viernes,02:00-06:00
SUROCCIDENTE,VILLA SAN PEDRO,I.E.D ALBERTO ASSA (BACHILLERATO),PINTURA,sabado,02:00-06:00
SURORIENTE,PASADENA,SEDE NUEVO AMANECER,PERCUSION,viernes,08:00-12:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,DIBUJO,sabado,08:00-12:00
RIOMAR,LAS FLORES,COLEGIO LIBERTADOR SIMON BOLIVAR (FE Y ALEGRIA),MADERA,miercoles,02:00-06:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,PERCUSION,sabado,08:00-12:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,PERCUSION,sabado,08:00-12:00
SURORIENTE,SAN JOSE,I.E.D SAN JOSE,TEJIDO,viernes,02:00-06:00
SUROCCIDENTE,LOS PINOS,I.E.D PARA EL DESARROLLO DEL TALENTO HUMANO,DANZA MODERNA,jueves,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,TEATRO,sabado,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D INMACULADA CONCEPCION,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,LA MANGA,I.E.D DENIS HERRERA DE VILLA,DANZA FOLCLORICA,sabado,08:00-12:00
SUROCCIDENTE,LIPAYA,HOGAR INFANTIL LIPAYA (FE Y ALEGRIA),DANZA FOLCLORICA,viernes,08:00-12:00
SUROCCIDENTE,LAS MALVINAS,I.E.D CULTURAL LAS MALVINAS,DANZA URBANA,jueves,08:00-12:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,DIBUJO,jueves,02:00-06:00
SUROCCIDENTE,LIPAYA,HOGAR INFANTIL LIPAYA (FE Y ALEGRIA),PERCUSION,viernes,08:00-12:00
RIOMAR,PARAISO,I.E.D EL PARAISO,PINTURA,sabado,08:00-12:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,PINTURA,viernes,08:00-12:00
SUROCCIDENTE,LA PAZ,CASA LUDICA LA PAZ,MADERA,martes,02:00-06:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,SEMILLAS Y FRUTOS,viernes,02:00-06:00
METROPOLITANA,SAN LUIS,I.E.D SAN LUIS BACHILLERATO,BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,Maquillaje artistico,sabado,02:00-06:00
SURORIENTE,PASADENA,SEDE NUEVO AMANECER,DANZA FOLCLORICA,miercoles,08:00-12:00
N.C.H.,SANTA ANA,I.E.D DEL DESARROLLO HUMANO Y CULTURAL DEL CARIBE,RECICLAJE Y MANUALIDADES,jueves,02:00-06:00
SURORIENTE,SAN JOSE,I.E.D SAN JOSE,TEATRO,viernes,02:00-06:00
N.C.H.,EL ROSARIO,I.E.D CODEBA SEDE UNIVERSIDAD DEL ATLANTICO,DANZA MODERNA,jueves,08:00-12:00
SURORIENTE,LOS TRUPILLOS,I.E.D LAS NIEVES (PRIMARIA),TEJIDO,domingo,08:00-12:00
RIOMAR,LA PLAYA,I.E.D EL CAÑAHUATE SEDE 1,INSTRUMENTOS DE VIENTO,sabado,02:00-06:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D JAVIER SANCHEZ,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,EL BOSQUE,I.E.D NUEVO BOSQUE,DANZA FOLCLORICA,sabado,08:00-12:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,INICIACION MUSICAL,sabado,02:00-06:00
SUROCCIDENTE,LIPAYA,I.E.D JOSE MARIA VELAZ,PERCUSION,jueves,02:00-06:00
RIOMAR,LA PLAYA,I.E.D SAN VICENTE DE PAUL,PINTURA,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,INICIACION MUSICAL,jueves,08:00-12:00
METROPOLITANA,7 DE ABRIL,FUNDACION INFANCIA FELIZ,PINTURA,viernes,08:00-12:00
RIOMAR,PARAISO,I.E.D EL PARAISO,TEJIDO,sabado,08:00-12:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,DANZA MODERNA,sabado,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ZAPATA OLIVELLA,PINTURA,domingo,08:00-12:00
SURORIENTE,LOS LAURELES,I.E.D LOS LAURELES,INICIACION MUSICAL,sabado,08:00-12:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,RECICLAJE Y MANUALIDADES,viernes,02:00-06:00
N.C.H.,BARLOVENTO,BIBLIOTECA PILOTO PLAZA DE LA ADUANA,LITERATURA,miercoles,02:00-06:00
SURORIENTE,SAN ROQUE,CDI SAN ROQUE,DANZA FOLCLORICA,martes,08:00-12:00
SUROCCIDENTE,SAN JOSE,I.E.D GABRIEL GARCIA MARQUEZ,DANZA URBANA,sabado,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D MADRE MARCELINA,BISUTERÍA Y ACCESORIOS,jueves,02:00-06:00
N.C.H.,EL ROSARIO,FUNDAVE,PERCUSION,miercoles,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,ACORDEON,sabado,02:00-06:00
SURORIENTE,REBOLO,I.E.D ALFONSO LOPEZ,TEATRO,martes,02:00-06:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,GUITARRA,martes,02:00-06:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,DANZA FOLCLORICA,sabado,02:00-06:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,CONFECCION ARTESANAL,viernes,02:00-06:00
RIOMAR,VILLAS DE SAN PABLO,CDI VILLAS DE SAN PABLO,GUITARRA,miercoles,08:00-12:00
SURORIENTE,UNIVERSAL,ASILO HOGAR GRANJA SAN JOSE,PINTURA,jueves,08:00-12:00
SUROCCIDENTE,CALIFORNIA,HOGAR INFANTIL LAS MALVINAS (FE Y ALEGRIA),SEMILLAS Y FRUTOS,jueves,08:00-12:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,INICIACION MUSICAL,jueves,02:00-06:00
METROPOLITANA,ALBORAYA,CDI ALBORAYA FUNDANGELITOS,LITERATURA,martes,08:00-12:00
SUROCCIDENTE,EL PUEBLO,I.E.D EL PUEBLO,DANZA FOLCLORICA,sabado,02:00-06:00
SUROCCIDENTE,EL PUEBLO,I.E.D EL PUEBLO,PERCUSION,sabado,02:00-06:00
SURORIENTE,SOLEDAD,EL OASIS,DANZA MODERNA,martes,02:00-06:00
SUROCCIDENTE,LA PAZ,CENTRO EDUCATIVO DE HABILITACION Y REHABILITACION INTEGRAL SAN CAMILO - CE CAMILO,CONFECCION ARTESANAL,jueves,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D CODEBA SEDE UNIVERSIDAD DEL ATLANTICO,GUITARRA,jueves,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,DANZA FOLCLORICA,sabado,08:00-12:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,TEJIDO,viernes,02:00-06:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
N.C.H.,BARLOVENTO,BIBLIOTECA PILOTO PLAZA DE LA ADUANA,PERCUSION,jueves,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CIUDADELA  20 DE JULIO,BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
SURORIENTE,UNIVERSAL,CENTRO DE EDUCACION BASICA Y MEDIA N. 132,LITERATURA,jueves,08:00-12:00
SUROCCIDENTE,CARIBE VERDE,CASA HOGAR VICTOR TAMAYO,DANZA FOLCLORICA,miercoles,02:00-06:00
RIOMAR,LAS FLORES,C.D.C LAS FLORES,DANZA FOLCLORICA,domingo,08:00-12:00
SUROCCIDENTE,LAS MALVINAS,I.E.D MUNDO BOLIVARIANO,CONFECCION ARTESANAL,sabado,02:00-06:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,CONFECCION ARTESANAL,jueves,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 2,PINTURA,jueves,02:00-06:00
N.C.H.,PRADO,FUNDACION NACE UNA ESTRELLA,DANZA FOLCLORICA,viernes,02:00-06:00
RIOMAR,LA PLAYA,FUNALSU LA PLAYA N. 1,INSTRUMENTOS DE VIENTO,viernes,08:00-12:00
SURORIENTE,REBOLO,CENTRO SOCIAL  DON BOSCO,PERCUSION,sabado,08:00-12:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,INICIACION MUSICAL,jueves,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D SALVADOR ENTREGAS,DANZA FOLCLORICA,viernes,02:00-06:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),Maquillaje artistico,miercoles,02:00-06:00
SURORIENTE,LA LUZ,I.E.D SAN MIGUEL ARCANGEL,MADERA,sabado,08:00-12:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),BISUTERÍA Y ACCESORIOS,miercoles,02:00-06:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA FUNDACION PIES DELCALZOS,CONFECCION ARTESANAL,domingo,08:00-12:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D MADRE MARCELINA,PINTURA,jueves,02:00-06:00
SUROCCIDENTE,EL BOSQUE,CENTRO PENITENCIARIO EL BOSQUE,MADERA,viernes,08:00-12:00
N.C.H.,CHIQUINQUIRA,I.E.D JOSE EUSEBIO CARO,DANZA MODERNA,sabado,02:00-06:00
METROPOLITANA,LA VICTORIA,I.E.D LA VICTORIA,PERCUSION,sabado,02:00-06:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,GUITARRA,martes,02:00-06:00
N.C.H.,CHIQUINQUIRA,JARDIN INFANTIL MI PEQUENA FANTASIA,DANZA MODERNA,viernes,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
RIOMAR,LAS FLORES,COLEGIO LIBERTADOR SIMON BOLIVAR (FE Y ALEGRIA),PERCUSION,miercoles,02:00-06:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,DANZA FOLCLORICA,miercoles,08:00-12:00
SUROCCIDENTE,LA PAZ,CASA LUDICA LA PAZ,GUITARRA,martes,02:00-06:00
SUROCCIDENTE,LOS OLIVOS,I.E.D JUAN ACOSTA SOLERA,MADERA,sabado,08:00-12:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),TEJIDO,miercoles,02:00-06:00
SUROCCIDENTE,LOS PINOS,I.E.D SALVADOR SUAREZ SUAREZ,GUITARRA,sabado,02:00-06:00
N.C.H.,BARLOVENTO,BIBLIOTECA PILOTO PLAZA DE LA ADUANA,TEATRO,martes,02:00-06:00
SUROCCIDENTE,LOS PINOS,I.E.D SALVADOR SUAREZ SUAREZ,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,PINTURA,viernes,02:00-06:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,PINTURA,viernes,02:00-06:00
SUROCCIDENTE,EL CARMEN,I.E.D SOFIA CAMARGO DE LLERAS,DANZA MODERNA,sabado,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,PINTURA,sabado,02:00-06:00
SUROCCIDENTE,SAN JOSE,I.E.D GABRIEL GARCIA MARQUEZ,DANZA FOLCLORICA,domingo,08:00-12:00
RIOMAR,LA PLAYA,I.E.D EL CAÑAHUATE SEDE 1,RECICLAJE Y MANUALIDADES,sabado,08:00-12:00
SURORIENTE,BOYACA,I.E.D SAN GABRIEL,BISUTERÍA Y ACCESORIOS,jueves,02:00-06:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,GUITARRA,sabado,08:00-12:00
SURORIENTE,SIMON BOLIVAR,I.E.D LUZ DEL CARIBE,DANZA URBANA,sabado,02:00-06:00
SURORIENTE,GALAN,CDI NIÑO JESUS,DANZA FOLCLORICA,martes,08:00-12:00
METROPOLITANA,ALBORAYA,CDI ALBORAYA FUNDANGELITOS,PERCUSION,jueves,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,DANZA FOLCLORICA,sabado,02:00-06:00
SUROCCIDENTE,LA PRADERA,I.E.D BETZABE ESPINOSA,INICIACION MUSICAL,sabado,02:00-06:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,PERCUSION,sabado,02:00-06:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,BISUTERÍA Y ACCESORIOS,viernes,02:00-06:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,PINTURA,sabado,08:00-12:00
METROPOLITANA,SANTA MARIA,I.E.D SANTA MARIA,BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
METROPOLITANA,LAS AMERICAS,I.E.D DESPERTAR DEL SUR,PINTURA,sabado,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D MADRE MARCELINA,GUITARRA,jueves,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D RODOLFO LLINAS RIASCOS,GUITARRA,sabado,02:00-06:00
METROPOLITANA,SAN LUIS,I.E.D SAN LUIS BACHILLERATO,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,EL CARMEN,I.E.D SOFIA CAMARGO DE LLERAS,CONFECCION ARTESANAL,sabado,08:00-12:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),PINTURA,sabado,08:00-12:00
METROPOLITANA,GARDENIAS,BIBLIOTECA GARDENIAS,DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,LAS GRANJAS,I.E.D LAS GRANJAS,RECICLAJE Y MANUALIDADES,jueves,02:00-06:00
SURORIENTE,PASADENA,SEDE NUEVO AMANECER,TEJIDO,viernes,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D SANTO DOMINGO DE GUZMAN,GUITARRA,sabado,08:00-12:00
N.C.H.,CHIQUINQUIRA,I.E.D JOSE EUSEBIO CARO,GUITARRA,miercoles,08:00-12:00
METROPOLITANA,7 DE ABRIL,HOGAR INFANTIL SAN PEDRO CLAVER (FE Y ALEGRIA),TEJIDO,martes,02:00-06:00
SUROCCIDENTE,NUEVA COLOMBIA,I.E.D PAULINO SALGADO BATATA,PERCUSION,domingo,08:00-12:00
RIOMAR,LAS FLORES,I.E.D LAS FLORES,INICIACION MUSICAL,jueves,08:00-12:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,PERCUSION,viernes,02:00-06:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,INSTRUMENTOS DE VIENTO,domingo,08:00-12:00
METROPOLITANA,20 DE JULIO,I.E.D JESUS MISERICORDIOSO N. 1,MADERA,sabado,02:00-06:00
RIOMAR,PINAR DEL RIO,I.E.D PINAR DEL RIO (FE Y ALEGRIA),PINTURA,sabado,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 1,TEJIDO,sabado,02:00-06:00
RIOMAR,LA PLAYA,HOGAR INFANTIL LA PLAYA,PERCUSION,miercoles,08:00-12:00
N.C.H.,MODELO,CARCEL MODELO DE BARRANQUILLA,ACORDEON,miercoles,02:00-06:00
SURORIENTE,BOYACA,I.E.D SAN GABRIEL,DIBUJO,jueves,02:00-06:00
METROPOLITANA,7 DE ABRIL,HOGAR INFANTIL SAN PEDRO CLAVER (FE Y ALEGRIA),MADERA,viernes,02:00-06:00
N.C.H.,MONTECRISTO,I.E.D INSTITUTO TECNICO NACIONAL DE COMERCIO (INSTENALCO),DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D INMACULADA CONCEPCION,GUITARRA,sabado,02:00-06:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,RECICLAJE Y MANUALIDADES,viernes,02:00-06:00
SUROCCIDENTE,EL BOSQUE,C.D.C EL BOSQUE,DANZA MODERNA,miercoles,02:00-06:00
SUROCCIDENTE,LAS MALVINAS,I.E.D CULTURAL LAS MALVINAS,TEATRO,jueves,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,DANZA URBANA,sabado,02:00-06:00
